municipality,owner,quarter,cases_closed,slaBreachRate,repeatComplaintRate,escalationRate,avgResolutionDays,openComplaintLoad,nextBreachRate,nextQuarter,failed
1,11744364,2014Q4,23,0.30434782608695654,0.043478260869565216,0.0,84.13636574074074,21,0.46153846153846156,2015Q1,0
1,2670601,2011Q1,10,0.6,0.0,0.0,58.55456134259259,26,0.9,2011Q2,1
1,2670601,2011Q2,20,0.9,0.0,0.0,92.95324363425925,13,0.45,2011Q3,0
1,2670601,2011Q3,20,0.45,0.0,0.0,83.95803819444444,10,0.5714285714285714,2011Q4,0
1,2670601,2011Q4,14,0.5714285714285714,0.07142857142857142,0.0,62.91868716931217,23,0.6363636363636364,2012Q1,0
1,2670601,2012Q1,22,0.6363636363636364,0.045454545454545456,0.045454545454545456,107.40250946969697,19,0.5238095238095238,2012Q2,0
1,2670601,2012Q2,21,0.5238095238095238,0.0,0.047619047619047616,71.45406525573192,18,0.8,2012Q3,0
1,2670601,2012Q3,15,0.8,0.0,0.0,74.47238348765431,15,0.5333333333333333,2012Q4,0
1,2670601,2012Q4,15,0.5333333333333333,0.0,0.0,69.31505478395061,20,0.5,2013Q1,0
1,2670601,2013Q1,18,0.5,0.0,0.05555555555555555,96.7078253600823,20,0.52,2013Q2,0
1,2670601,2013Q2,25,0.52,0.04,0.0,96.17456064814814,16,0.07142857142857142,2013Q3,0
1,2670601,2013Q3,14,0.07142857142857142,0.0,0.0,46.8216583994709,13,0.5384615384615384,2013Q4,0
1,2670601,2013Q4,13,0.5384615384615384,0.0,0.0,70.01144319800571,25,0.6666666666666666,2014Q1,0
1,2670601,2014Q1,24,0.6666666666666666,0.5,0.0,83.34611255787037,49,0.6136363636363636,2014Q2,0
1,2670601,2014Q2,44,0.6136363636363636,0.13636363636363635,0.0,94.79478798400673,38,0.5675675675675675,2014Q3,0
1,2670601,2014Q3,37,0.5675675675675675,0.16216216216216217,0.05405405405405406,92.9427977977978,15,0.6,2014Q4,0
1,3273854,2011Q2,44,0.4772727272727273,0.045454545454545456,0.0,60.04322679924242,19,0.5151515151515151,2011Q3,0
1,3273854,2011Q3,33,0.5151515151515151,0.030303030303030304,0.0,60.127610129068465,23,0.4,2011Q4,0
